Website,http,https
www.ubernet.com.bd,<Response [406]>,<Response [406]>
www.laugfsgas.com.bd,<Response [200]>,<Response [200]>
www.mfl.com.bd,<Response [200]>,<Response [200]>
crab.com.bd,<Response [406]>,<Response [406]>
electromart.com.bd,<Response [200]>,<Response [200]>
www.nits.com.bd,<Response [200]>,<Response [200]>
www.linde.com.bd/en/index.htm,<Response [404]>,not reachable
reliance.com.bd,<Response [200]>,<Response [200]>
www.tcg.com.bd,<Response [406]>,<Response [406]>
unb.com.bd,<Response [200]>,<Response [200]>
www.bangladeshpress.com.bd,<Response [200]>,<Response [200]>
www.bdbl.com.bd,<Response [200]>,not reachable
www.xiaomibangladesh.com.bd,<Response [200]>,<Response [200]>
dipti.com.bd,<Response [200]>,<Response [200]>
ananta.com.bd,<Response [200]>,<Response [200]>
www.emirates.com,<Response [200]>,<Response [200]>
www.phoenixinsurance.com.bd,<Response [406]>,<Response [406]>
www.cityinsurance.com.bd,<Response [200]>,not reachable
www.pioneerinsurance.com.bd,<Response [406]>,<Response [406]>
www.unitedfinance.com.bd,<Response [200]>,<Response [200]>
www.maksonsgroup.com.bd,<Response [200]>,not reachable
mygalaxy.fdl.com.bd,<Response [200]>,<Response [200]>
www.ebook.com.bd,<Response [200]>,<Response [200]>
www.focusbangla.com.bd,<Response [200]>,<Response [200]>
www.citytouch.com.bd,<Response [200]>,not reachable
www.ecg.com.bd,<Response [200]>,not reachable
cmed.com.bd,<Response [200]>,<Response [200]>
kaz.com.bd,<Response [200]>,<Response [200]>
www.confidencegroup.com.bd,<Response [200]>,<Response [200]>
www.phoenixfinance.com.bd,<Response [406]>,<Response [406]>
www.haier.com.bd,<Response [200]>,not reachable
vromon.com.bd,<Response [200]>,not reachable
www.bmet.org.bd,not reachable,not reachable
www.lafargeholcim.com.bd,<Response [200]>,<Response [200]>
lakeshorehotel.com.bd,<Response [403]>,<Response [403]>
www.pbil.com.bd,not reachable,not reachable
www.hamko.com.bd,<Response [200]>,not reachable
www.mysports.com.bd,<Response [200]>,not reachable
technovista.com.bd,<Response [200]>,<Response [200]>
www.ccifb.com.bd,<Response [200]>,<Response [200]>
www.dhakacourier.com.bd,<Response [200]>,<Response [200]>
e-wallet.com.bd,<Response [200]>,<Response [200]>
pchouse.com.bd,<Response [200]>,<Response [200]>
deshenergy.com.bd,<Response [200]>,<Response [200]>
www.tatamotors.com.bd,<Response [200]>,<Response [200]>
www.mke.com.bd,<Response [200]>,<Response [200]>
www.aponjon.com.bd,<Response [200]>,not reachable
www.btcl.gov.bd,<Response [200]>,not reachable
www.ssml.com.bd,<Response [200]>,<Response [200]>
esoft.com.bd,<Response [406]>,<Response [406]>
sajeebgroup.com.bd,<Response [406]>,<Response [406]>
www.sanofi.com.bd,<Response [200]>,<Response [200]>
www.eicra.com,<Response [200]>,<Response [200]>
robishop.com.bd/mobile-phones.htm,<Response [404]>,<Response [404]>
www.bdsecurities.com.bd,<Response [200]>,not reachable
www.wms.com.bd,<Response [406]>,<Response [406]>
www.jb.com.bd,<Response [200]>,<Response [200]>
www.mars.com.bd,not reachable,not reachable
news.google.com.bd,<Response [200]>,<Response [200]>
www.aranya.com.bd,<Response [406]>,<Response [406]>
www.richman.com.bd,<Response [406]>,<Response [406]>
dbg.com.bd,<Response [200]>,<Response [200]>
feedme.com.bd,<Response [200]>,not reachable
www.icml.com.bd,<Response [200]>,not reachable
www.arena.com.bd,<Response [200]>,<Response [200]>
www.missuniverse.com.bd,<Response [406]>,<Response [406]>
www.amber.com.bd,<Response [200]>,not reachable
